,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,param_loss,param_penalty,param_dual
38,26.425304698944093,0.09419117521055188,2.536905574798584,0.02497468419809018,0.25,poly,5,"{'C': 0.25, 'degree': 5, 'kernel': 'poly'}",0.5066666666666667,0.5066666666666667,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.5053333333333333,0.000666666666666682,55,,,
39,25.514539813995363,0.1175887345583266,2.4306264400482176,0.02138063652892346,0.5,poly,2,"{'C': 0.5, 'degree': 2, 'kernel': 'poly'}",0.815,0.8133333333333334,0.815,0.7983333333333333,0.8116666666666666,0.7783333333333333,0.8133333333333334,0.7916666666666666,0.8,0.8366666666666667,0.8073333333333332,0.015132745950421555,24,,,
40,26.60296025276184,0.1237468399658385,2.516323280334473,0.030996571061430004,0.5,poly,3,"{'C': 0.5, 'degree': 3, 'kernel': 'poly'}",0.7566666666666667,0.7683333333333333,0.7533333333333333,0.7216666666666667,0.7083333333333334,0.7616666666666667,0.7433333333333333,0.745,0.78,0.7866666666666666,0.7525000000000001,0.023060909686210454,44,,,
41,26.563819313049315,0.09432101659883901,2.539651346206665,0.030503554143075245,0.5,poly,4,"{'C': 0.5, 'degree': 4, 'kernel': 'poly'}",0.5333333333333333,0.5383333333333333,0.525,0.515,0.5183333333333333,0.5183333333333333,0.525,0.5183333333333333,0.53,0.5233333333333333,0.5245,0.007112196097783961,51,,,
42,26.568553471565245,0.1638371019744611,2.5261703729629517,0.016362950123800995,0.5,poly,5,"{'C': 0.5, 'degree': 5, 'kernel': 'poly'}",0.525,0.535,0.5216666666666666,0.515,0.5183333333333333,0.5183333333333333,0.5216666666666666,0.5183333333333333,0.5216666666666666,0.5233333333333333,0.5218333333333334,0.005188127472091138,52,,,
43,25.85830988883972,0.1512268500135932,2.3698843717575073,0.04165337308865021,1.0,poly,2,"{'C': 1.0, 'degree': 2, 'kernel': 'poly'}",0.8483333333333334,0.8383333333333334,0.8316666666666667,0.8216666666666667,0.8266666666666667,0.8,0.8383333333333334,0.8233333333333334,0.8233333333333334,0.87,0.8321666666666665,0.01760760567986964,10,,,
44,26.482189464569093,0.08602056395643021,2.506494951248169,0.020645432827119992,1.0,poly,3,"{'C': 1.0, 'degree': 3, 'kernel': 'poly'}",0.8166666666666667,0.8016666666666666,0.795,0.8,0.7983333333333333,0.775,0.81,0.795,0.7933333333333333,0.8366666666666667,0.8021666666666667,0.01549282988281281,29,,,
45,26.567973804473876,0.1196398329124678,2.518945598602295,0.03437349640701105,1.0,poly,4,"{'C': 1.0, 'degree': 4, 'kernel': 'poly'}",0.7616666666666667,0.75,0.7733333333333333,0.7683333333333333,0.755,0.7083333333333334,0.75,0.745,0.7533333333333333,0.7933333333333333,0.7558333333333332,0.02085998295514377,41,,,
46,26.198680329322816,0.11975060748245234,2.479097318649292,0.02755621206288431,1.0,poly,5,"{'C': 1.0, 'degree': 5, 'kernel': 'poly'}",0.7483333333333333,0.7183333333333334,0.7483333333333333,0.74,0.7266666666666667,0.6816666666666666,0.7166666666666667,0.7383333333333333,0.73,0.805,0.7353333333333334,0.029737742572921264,49,,,
47,26.10665202140808,0.10524230065453392,2.374695134162903,0.029505849213592512,2.0,poly,2,"{'C': 2.0, 'degree': 2, 'kernel': 'poly'}",0.855,0.8433333333333334,0.8266666666666667,0.8166666666666667,0.835,0.8,0.8366666666666667,0.8333333333333334,0.83,0.8766666666666667,0.8353333333333334,0.019661016137411506,5,,,
48,26.077368092536926,0.1342842072268968,2.460594153404236,0.027655642372813746,2.0,poly,3,"{'C': 2.0, 'degree': 3, 'kernel': 'poly'}",0.825,0.8116666666666666,0.7983333333333333,0.8,0.7933333333333333,0.775,0.8133333333333334,0.8033333333333333,0.81,0.8383333333333334,0.8068333333333333,0.016506732633147666,28,,,
49,26.05770652294159,0.1053861934609263,2.478246474266052,0.027613071130566144,2.0,poly,4,"{'C': 2.0, 'degree': 4, 'kernel': 'poly'}",0.765,0.7683333333333333,0.7716666666666666,0.7783333333333333,0.77,0.7133333333333334,0.7566666666666667,0.75,0.7616666666666667,0.795,0.763,0.020231987873991348,37,,,
50,25.899212431907653,0.11131366076916958,2.4594995260238646,0.01477921610520652,2.0,poly,5,"{'C': 2.0, 'degree': 5, 'kernel': 'poly'}",0.7533333333333333,0.7133333333333334,0.755,0.7433333333333333,0.7416666666666667,0.6766666666666666,0.7183333333333334,0.7433333333333333,0.7233333333333334,0.7983333333333333,0.7366666666666667,0.030313180118372415,45,,,
51,25.98648452758789,0.07484754259138923,2.3658748388290407,0.03702684282492217,4.0,poly,2,"{'C': 4.0, 'degree': 2, 'kernel': 'poly'}",0.8533333333333334,0.8416666666666667,0.8266666666666667,0.8183333333333334,0.835,0.8016666666666666,0.8366666666666667,0.8333333333333334,0.8283333333333334,0.875,0.835,0.018678567634829207,6,,,
52,26.068911218643187,0.11861825652934085,2.4730215549468992,0.016623149169672925,4.0,poly,3,"{'C': 4.0, 'degree': 3, 'kernel': 'poly'}",0.825,0.81,0.7983333333333333,0.7983333333333333,0.7966666666666666,0.775,0.815,0.8033333333333333,0.8083333333333333,0.84,0.807,0.016679994670929055,25,,,
53,26.125802397727966,0.08549935324159669,2.4796829223632812,0.025162574812454243,4.0,poly,4,"{'C': 4.0, 'degree': 4, 'kernel': 'poly'}",0.765,0.7683333333333333,0.7716666666666666,0.7783333333333333,0.77,0.7133333333333334,0.7566666666666667,0.75,0.7616666666666667,0.795,0.763,0.020231987873991348,37,,,
54,25.813488292694093,0.12414403985600866,2.4598190546035767,0.028951551141125055,4.0,poly,5,"{'C': 4.0, 'degree': 5, 'kernel': 'poly'}",0.7533333333333333,0.7133333333333334,0.755,0.7433333333333333,0.7416666666666667,0.6766666666666666,0.7183333333333334,0.7433333333333333,0.7233333333333334,0.7983333333333333,0.7366666666666667,0.030313180118372415,45,,,
55,26.041593647003175,0.10494173854650558,2.374174118041992,0.02320366561263773,8.0,poly,2,"{'C': 8.0, 'degree': 2, 'kernel': 'poly'}",0.8533333333333334,0.8416666666666667,0.8266666666666667,0.8183333333333334,0.835,0.8016666666666666,0.8366666666666667,0.8333333333333334,0.8283333333333334,0.875,0.835,0.018678567634829207,6,,,
